NUEVO_ID,ATSEG,Predicted,Prob_SEG_A,Prob_SEG_B,Prob_SEG_C,Max_Prob,ORAL_TRX_mean,UC_TRX_mean,TOTAL_TRX_mean,N_CLMOTHERS_mean,IL23_TRX_mean
3951,SEG_A,SEG_C,0.1813749521970749,0.3167327046394348,0.5018923878669739,0.5018923878669739,0.0580930232558139,2.180450467719105,2.070787573879672,2.86046511627907,0.0145581395348837
9878,SEG_C,SEG_B,0.036422885954380035,0.5016445517539978,0.46193253993988037,0.5016445517539978,0.1360130980970425,2.140359746687244,1.5910479223863825,3.069767441860465,0.0394768966933003
6854,SEG_A,SEG_C,0.2353413701057434,0.2630179822444916,0.5016406774520874,0.5016406774520874,0.0585744186046511,0.7753623188405797,0.4546479752437807,0.7441860465116279,0.0971489897165561
2901,SEG_A,SEG_C,0.35536447167396545,0.1431470364332199,0.5014885067939758,0.5014885067939758,0.0063209302325581,1.6036843879162013,1.4108291774126018,2.453488372093023,0.0
11085,SEG_C,SEG_B,0.3948955237865448,0.5014185309410095,0.10368593782186508,0.5014185309410095,0.1093093023255814,0.5029712805775814,0.251744124110286,0.0930232558139534,0.0
16032,SEG_A,SEG_B,0.34176111221313477,0.5013988018035889,0.15684008598327637,0.5013988018035889,0.0940732997281489,1.9711830131445909,1.524948233010958,1.8604651162790693,0.0628023255813953
3959,SEG_A,SEG_B,0.45007598400115967,0.5013076663017273,0.048616353422403336,0.5013076663017273,0.076087253216521,0.822494811345857,0.4522747434496892,0.6744186046511628,0.0
10658,SEG_B,SEG_A,0.501227617263794,0.19178900122642517,0.30698341131210327,0.501227617263794,0.025413953488372,0.4668103524737019,0.0832818216364119,0.6162790697674418,0.0023255813953488
2253,SEG_C,SEG_A,0.5010842084884644,0.08666989207267761,0.4122459292411804,0.5010842084884644,0.0,1.074264275451014,0.6470242121092753,2.0348837209302326,0.0023255813953488
3918,SEG_C,SEG_A,0.5009554028511047,0.17187540233135223,0.3271692097187042,0.5009554028511047,0.041153488372093,0.6155340322494812,0.2467415351760598,0.813953488372093,0.0119255813953488
11801,SEG_A,SEG_C,0.3287135660648346,0.1703762263059616,0.500910222530365,0.500910222530365,0.0303325581395348,2.840093101900879,2.191738535522232,3.1049109862846405,0.0784883720930232
969,SEG_A,SEG_B,0.31537872552871704,0.5008983016014099,0.18372301757335663,0.5008983016014099,0.095860465116279,0.9318290671065936,0.5074879220072995,0.7441860465116279,0.0165720930232558
